"id", "catalog_number", "description"
"793919","UC210-32RT","AMI UC210-32RT 2 NORMAL DUTY WIDE SET SCREW RT SEA ROW BALL BEARING"
"793918","UC210-31RT","AMI UC210-31RT 1-15/16 NORMAL DUTY WIDE SET SCREW SINGLE ROW BALL BEARING"
"793917","UC210-30RT","AMI UC210-30RT 1-7/8 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
"793785","KHR208NR","AMI KHR208NR 40MM NORMAL NARROW CYL O.D. ECC COL SINGLE ROW BALL BEARING"
"793761","UC208MZ2RF","AMI UC208MZ2RF 40MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"793760","UC208-24MZ2RF","AMI UC208-24MZ2RF 1-1/2 ZINC NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"793625","UK210","AMI UK210 NORMAL DUTY ADAPTER BEARING"
"793613","UK207+H307","AMI UK207+H307 30MM NORMAL DUTY WIDE ADAPTER SLEEV SINGLE ROW BALL BEARING"
"793612","SER208FSAM1","AMI SER208FSAM1 40MM NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"793611","SER208-24FSAM1","AMI SER208-24FSAM1 1-1/2 NORMAL WIDE CYL O.D. SET SCRE BRG INSERT SINGLE ROW BALL BEARING"
"793602","SER207-20FSXAM1","AMI SER207-20FSXAM1 1-1/4 NML WIDE CYL O.D. SET SCREW F BRG SINGLE ROW BALL BEARING"
"793569","SUE205FSAM1","AMI SUE205FSAM1 25MM NORMAL WIDE CYL O.D. ACCU-LOC INSERT SINGLE ROW BALL BEARING"
"793566","UKX10","AMI UKX10 MEDIUM DUTY ADAPTER BEARING"
"793565","UK306+HS2306","AMI UK306+HS2306 7/8 HEAVY DUTY WIDE ADAPTER SLEEVE SINGLE ROW BALL BEARING"
"793564","UK306+HA2306","AMI UK306+HA2306 15/16 HEAVY DUTY WIDE ADAPTER SLEEV SINGLE ROW BALL BEARING"
"793527","UC209RT","AMI UC209RT 45MM NORMAL DUTY WIDE SET SCREW RT ROW BALL BEARING"
"793526","UC209-28RT","AMI UC209-28RT 1-3/4 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
"793525","UC209-27RT","AMI UC209-27RT 1-11/16 NORMAL DUTY WIDE SET SCREW SINGLE ROW BALL BEARING"
"793524","UC209-26RT","AMI UC209-26RT 1-5/8 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
"793445","UK308","AMI UK308 HEAVY DUTY ADAPTER BEARING"
"793439","SUE205-16FSAM1","AMI SUE205-16FSAM1 1 NORMAL WIDE CYL O.D. ACCU-LOC FRE INSERT SINGLE ROW BALL BEARING"
"793421","SUE204FSX","AMI SUE204FSX 20MM NORMAL WIDE CYL O.D. ACCU-LOC SINGLE ROW BALL BEARING"
"793401","B7-22MZ2","AMI B7-22MZ2 1-3/8 ZINC NORMAL NARROW SET SCREW SINGLE ROW BALL BEARING"
"793400","SER207FSX","AMI SER207FSX 35MM NML WIDE CYL O.D. SET SCREW FR INSERT SINGLE ROW BALL BEARING"
"793399","SER207-22FSX","AMI SER207-22FSX 1-3/8 NML WIDE CYL O.D. SET SCREW F INSERT SINGLE ROW BALL BEARING"
"793398","SER207-20FSX","AMI SER207-20FSX 1-1/4 NML WIDE CYL O.D. SET SCREW F INSERT SINGLE ROW BALL BEARING"
"793396","UR208-24RT","AMI UR208-24RT 1-1/2 NORMAL WIDE CYL O.D. SET SCRE INSERT SINGLE ROW BALL BEARING"
"793394","UC208RT","AMI UC208RT 40MM NORMAL DUTY WIDE SET SCREW RT ROW BALL BEARING"
"793393","UC208-24RT","AMI UC208-24RT 1-1/2 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
