id,catalog_number,description
2501544,UKP207B13N2,FYH UKP207B13N2 UKP 207 w/ 90^ FITTING ON RT-SIDE
2501543,UKP206PL,FYH UKP206PL PLASTIC ND TB PB (ADAPT)7/8 15/16 1 25MM
2501542,UKP206NP,FYH UKP206NP
2501541,UKP206N2,FYH UKP206N2 ND TB PB ADA WITH 90 DEG. ZERK
2501540,UKP206L3NP,FYH UKP206L3NP 25MM N/D NP UNIT + L3 SEALS
2501539,UKP206L3H306E,FYH UKP206L3H306E 1in UKP UNIT L3 SEAL
2501538,UKP206L3,FYH UKP206L3 25MM N/D UNIT + L3 SEALS
2501537,UKP206H306E,FYH UKP206H306E 1in UKP UNIT
2501536,UKP206FCD,FYH UKP206FCD TAPERED BORE UNIT W/ OPEN & CLOSED CAST COVERS
2501535,UKP206FC,FYH UKP206FC TAPERED BORE UNIT W/ OPEN CAST COVERS
2501534,UKP206E3,FYH UKP206E3 ND TB PB (ADAPTER) 7/8 15/16 1 25MM
2501533,UKP206E1,FYH UKP206E1 UKP 206 FOR COVERS
2501532,UKP206D2K2B13,FYH UKP206D2K2B13 25MM NDTBPB(ADPTR)7/8 15/16 W/ LOW-TEMP GR
2501531,UKP205NP,FYH UKP205NP ND TB PB WITH NICKEL PLATE HSG.
2501530,UKP205N2,FYH UKP205N2 ND TB 2BOLT PILLOW WITH 90 DEG.ZERK
2501529,UKP205E1,FYH UKP205E1 ND TB 2B PB GROOVED FOR COVER(ADAP3/4 20
2501528,UKLF207,FYH UKLF207 LD 2B FLNG (ADAPTER) 1(1/83/16) 30MM
2501527,UKIP313,FYH UKIP313 THICK PILLOW BLOCK UNIT
2501526,UKIP211,FYH UKIP211 THICK PILLOW BLOCK UNIT
2501525,UKIP209,FYH UKIP209 THICK PILLOW BLOCK UNIT
2501524,UKIP208,FYH UKIP208 THICK PILLOW BLOCK UNIT
2501523,UKHA207NP,FYH UKHA207NP ND TB ADA NICKEL PLATED HANGER UNIT
2501522,UKFX209,FYH UKFX209 MD TB ADA 4-BOLT UNIT USE UK209 + FX09E
2501521,UKFX17E,FYH UKFX17E MD TB ADA 4-BOLT UNIT 2(7/815/16)3ft75M
2501520,UKFX16E,FYH UKFX16E MD TB ADA 4-BOLT UNIT 2 3/4 70MM
2501519,UKFX15E,FYH UKFX15E MD TB ADA UNIT 2 1/2 25/8 65MM
2501518,UKFX13E,FYH UKFX13E MD TB ADA 4-BOLT UNIT 2(3/161/43/8)60M
2501517,UKFX12J,FYH UKFX12J MED DUTY-ADAPTOR SLEEVE LOCK(55MM-2 1/16
2501516,UKFX12E,FYH UKFX12E MD TB ADA 4-BOLT UNIT 2 1/855MM BORE
2501515,UKFX11E,FYH UKFX11E MD TB ADA 4-BOLT UNIT 1(7/815/16)2ft50M
2501514,UKFX10E,FYH UKFX10E MD TB ADA 4-BOLT 1 11/16 1 3/4 45MM
2501513,UKFX09E,FYH UKFX09E MD TB ADA 4-BOLT UNIT 1(7/171/25/8)40M
2501512,UKFX08E,FYH UKFX08E MD TB ADA 4-BOLT UNIT 1(1/43/8) 35MM
2501511,UKFX07E,FYH UKFX07E MD TB ADA 4-BOLT UNIT 1(1/83/16) 30MM
2501510,UKFX06E,FYH UKFX06E MD TB ADA 4-BOLT UNIT 7/815/161ft 25MM
2501509,UKFX05E,FYH UKFX05E MD TB ADA 4-BOLT UNIT 3/4 20MM BORE
2501508,UKFSX09,FYH UKFSX09 FS308 HOUSING WITH UKX09 INSERT
2501507,UKFS316E3,FYH UKFS316E3 HD TB ADA UNIT 4-BOLT
2501506,UKFL217E,FYH UKFL217E ND TB 2B FLNG (ADAPTER) 2 15/16 3 75MM
2501505,UKFL216E,FYH UKFL216E ND TB 2B FLNG(ADAPTER) 2(11/163/4) 70MM
2501504,UKFL215E,FYH UKFL215E ND TB 2B FLNG (ADAPTER) 2(7/161/2) 65MM
2501503,UKFL213J,FYH UKFL213J 60MM NDTB 2BT FLG ADAPTOR2(3/161/43/8)
2501502,UKFL213E,FYH UKFL213E ND TB 2B FLNG ADPTR 2(3/161/43/8) 60MM
2501501,UKFL212J,FYH UKFL212J ND 2-BOLT FLANGE inJin STYLE W UK SERIES INSERT
2501500,UKFL212E,FYH UKFL212E ND TB 2B FLNG (ADAPTER) 2 1/8 55MM BORE
2501499,UKFL211JN2C,FYH UKFL211JN2C 50MM NDTB/C 11X50/ADAPTOR1(7/815/16)2
2501498,UKFL211JL3,FYH UKFL211JL3 ND TB 2B FLNG ADPTR 1(7/815/16) 2 50MM
2501497,UKFL211J,FYH UKFL211J ND TB 2B FLNG ADPTR 1(7/815/16) 2 50MM
2501496,UKFL211EL3,FYH UKFL211EL3 ND TB 2B FLNG ADPTR 1(7/815/16) 2 50MM
2501495,UKFL211EH2311,FYH UKFL211EH2311 50MM TB 2B FL W/ H2311 ADAPTER
