id,catalog_number
221349,G185139.00
221348,G185138.00
221347,G185137.00
221346,G185136.00
221345,G185135.00
221344,G185134.00
221343,G185133.00
221342,G185132.00
221341,G185131.00
221340,G185130.00
221339,G185128.00
221338,G185127.00
221337,G185126.00
221336,G185125.00
221335,G185124.00
221334,G185123.00
221333,G185122.00
221332,G185121.00
221331,G185120.00
221330,G185111.00
221329,G185110.00
221328,G185109.00
221327,G185108.00
221326,G185107.00
221325,G185106.00
221324,G185105.00
221323,G185104.00
221322,G185103.00
221321,G185102.00
221320,G185101.00
221319,G185100.00
221318,G185099.00
221317,G185098.00
221316,G185097.00
221315,G185096.00
221314,G185095.00
221313,G185094.00
221312,G185093.00
221311,G185092.00
221310,G185091.00
221309,G185090.00
221308,G185085.00
221307,G185084.00
221306,G185083.00
221305,G185082.00
221304,G185081.00
221303,G185067.00
221302,G185066.00
221301,G185065.00
221300,G185064.00
221299,G185063.00
221298,G185058.00
221297,G185057.00
221296,G185056.00
221295,G185055.00
221294,G185054.00
221293,G185049.00
221292,G185048.00
221291,G185047.00
221290,G185046.00
221289,G185045.00
221288,G185040.00
221287,G185035.00
221286,G185032.00
221285,G185030.00
221284,G185027.00
221283,G185025.00
221282,G185024.00
221281,G185022.00
221280,G185021.00
221279,G185020.00
221278,G185019.00
221277,G185017.00
221276,G185016.00
221275,G185015.00
221274,G185014.00
221273,G185012.00
221272,G185011.00
221271,G185010.00
221270,G185009.00
221269,G185007.00
221268,G185006.00
221267,G185005.00
221266,G185004.00
221265,G185002.00
221264,G185001.00
221263,G185000.00
221262,G175738.00
221261,G175737.00
221260,G175736.00
221259,G175735.00
221258,G175734.00
221257,G175733.00
221256,G175732.00
221255,G175731.00
221254,G175730.00
221253,G175729.00
221252,G175728.00
221251,G175727.00
221250,G175726.00
221249,G175725.00
221248,G175724.00
221247,G175723.00
221246,G175721.00
221245,G175720.00
221244,G175719.00
221243,G175718.00
221242,G175717.00
221241,G175715.00
221240,G175714.00
221239,G175713.00
221238,G175712.00
221237,G175711.00
221236,G175710.00
221235,G175708.00
221234,G175707.00
221233,G175706.00
221232,G175705.00
221231,G175704.00
221230,G175703.00
221229,G175702.00
221228,G175701.00
221227,G175521.00
221226,G175519.00
221225,G175511.00
221224,G175508.00
221223,G175507.00
221222,G175506.00
221221,G175505.00
221220,G175503.00
221219,G175502.00
221218,G175501.00
221217,G175500.00
221216,G175115.00
221215,G175112.00
221214,G175111.00
221213,G175110.00
221212,G175109.00
221211,G175108.00
221210,G175107.00
221209,G175106.00
221208,G175105.00
221207,G175104.00
221206,G175103.00
221205,G175102.00
221204,G175101.00
221203,G175100.00
221202,G175099.00
221201,G175098.00
221200,G175097.00
221199,G175096.00
221198,G175095.00
221197,G175094.00
221196,G175093.00
221195,G175092.00
221194,G175091.00
221193,G175090.00
221192,G175085.00
221191,G175084.00
221190,G175083.00
221189,G175082.00
221188,G175081.00
221187,G175067.00
221186,G175066.00
221185,G175065.00
221184,G175064.00
221183,G175063.00
221182,G175058.00
221181,G175057.00
221180,G175056.00
221179,G175055.00
221178,G175054.00
221177,G175050.00
221176,G175049.00
221175,G175048.00
221174,G175047.00
221173,G175046.00
221172,G175045.00
221171,G175043.00
221170,G175042.00
221169,G175040.00
221168,G175038.00
221167,G175037.00
221166,G175035.00
221165,G175034.00
221164,G175033.00
221163,G175032.00
221162,G175030.00
221161,G175028.00
221160,G175027.00
221159,G175025.00
221158,G175024.00
221157,G175022.00
221156,G175020.00
221155,G175019.00
221154,G175016.00
221153,G175015.00
221152,G175014.00
221151,G175012.00
221150,G175011.00
221149,G175010.00
221148,G175009.00
221147,G175007.00
221146,G175006.00
